"match_id","id","total_goals","supremacy","draw_factor","fit_error","expH","expA"
3890414,"bundesliga157",2.41,0.45,1.05,6.57402934845662e-09,1.42802792210223,0.979053246438838
3890415,"bundesliga158",2.97,-0.95,1.12,6.26740977684171e-09,1.00651581533414,1.95954841946014
3890416,"bundesliga159",2.34,0.26,1.09,7.35544379508612e-09,1.29726729609244,1.04066522602647
3890271,"bundesliga16",3.03,1.32,1.13,6.9464054963698e-09,2.17734162513106,0.857438727065368
3890417,"bundesliga160",3.36,-1.2,1.09,1.26203824041294e-08,1.0808774341337,2.27792383970396
3890420,"bundesliga161",2.99,-0.41,1.15,5.83161242557762e-09,1.29144639000477,1.69678009699478
3890419,"bundesliga162",3.06,0.91,1.08,5.45249582035988e-09,1.98327167535385,1.07368005447455
3890421,"bundesliga163",2.91,0.18,1.09,2.1738079818773e-09,1.54709269933572,1.36580566290732
3890426,"bundesliga164",2.87,0.57,1.09,1.77654445704842e-08,1.7208530412819,1.14917018648987
3890424,"bundesliga165",2.64,-0.3,1.09,2.23917307398634e-09,1.16923851436659,1.466202229899
3890422,"bundesliga166",3.31,1.98,1.23,9.86908313812442e-09,2.64536308677561,0.664638016437889
3890427,"bundesliga167",3.25,1.82,1.01,7.29189877164725e-09,2.53275374122548,0.712924742763326
3890423,"bundesliga168",2.87,0.67,1.09,6.10803486679859e-09,1.77154757231712,1.10160186675097
3890425,"bundesliga169",2.6,0.11,1.1,7.58822324490473e-10,1.35727141424635,1.24367935045836
3890275,"bundesliga17",2.94,-1.25,1.1,1.11450203573148e-08,0.844170123705354,2.0915581271244
3890428,"bundesliga170",3.78,2.73,0.85,9.62261742963874e-09,3.25274383058024,0.525235307004017
3890429,"bundesliga171",2.92,1.08,1.1,2.36727219616328e-08,1.99889355575875,0.916418114250311
3890430,"bundesliga172",3.33,0.94,1.1,4.54395766972081e-09,2.1356529843263,1.19725906852112
3890433,"bundesliga173",3.17,-0.14,1.16,4.09780592141738e-09,1.51501733631255,1.65636897973358
3890434,"bundesliga174",2.69,0.01,1.12,1.75436768756078e-09,1.3499316750398,1.34410812776303
3890435,"bundesliga175",2.94,-1.15,1.12,7.94133788021215e-09,0.896229196631389,2.04727929682421
3890436,"bundesliga176",2.22,0.17,1.07,3.90495671079418e-09,1.19745357957312,1.02672237059949
3890431,"bundesliga177",2.92,-0.94,1.1,2.84714880183987e-09,0.989934609961072,1.93240139256601
3890432,"bundesliga178",3.02,0.16,1.15,2.76162359452196e-09,1.58827929415709,1.42695226430534
3890438,"bundesliga179",2.46,-0.07,1.1,1.48858297561292e-09,1.1963890784079,1.26659038802745
3890276,"bundesliga18",2.85,0.81,1.13,8.58598216634897e-09,1.82990542152351,1.01887315526207
3890437,"bundesliga180",2.49,0.5,1.03,9.04591167802512e-09,1.49832960663031,0.994972696564575
3890439,"bundesliga181",2.76,-0.04,1.15,3.90577917595101e-09,1.36292750132895,1.39830026557746
3890444,"bundesliga182",2.64,-0.61,1.14,4.41381297415243e-09,1.0160180204083,1.62152189750901
3890442,"bundesliga183",3.8,2.4,1.04,6.48323087302265e-09,3.10144161568255,0.696894491566846
3890440,"bundesliga184",2.87,0.86,1.07,7.1250315037703e-09,1.86615072931142,1.0059024162618
3890441,"bundesliga185",2.86,0.45,1.15,3.49528349990315e-09,1.65248362083082,1.2027488462952
3890443,"bundesliga186",2.99,0.51,1.13,2.94032835832193e-09,1.75008419309396,1.24141043315671
3890445,"bundesliga187",2.55,0.8,1.11,7.11884569570583e-09,1.67413291591855,0.875767779941262
3890446,"bundesliga188",3.11,-1.87,1.07,9.49457261893531e-09,0.619321109297067,2.48727568528907
3890447,"bundesliga189",2.91,-0.43,1.13,2.71332802230503e-09,1.24061618758894,1.67353546096896
3890277,"bundesliga19",3.1,0.45,1.14,2.17607612078525e-09,1.77066917936353,1.32487617333988
3890448,"bundesliga190",2.86,0.24,1.11,9.31553805271611e-09,1.55024698327208,1.310470558165
3890453,"bundesliga191",3.61,2.72,0.91,1.22582484614194e-08,3.16361227413497,0.442465929864087
3890451,"bundesliga192",2.45,-0.06,1.05,1.74499941545577e-09,1.19936059771377,1.2543942389801
3890452,"bundesliga193",2.67,0.09,1.06,1.07052246612091e-09,1.38013635317714,1.29158130188042
3890449,"bundesliga194",2.55,0.37,1.13,1.61436758593294e-09,1.46240656321814,1.08912523431345
3890450,"bundesliga195",2.97,0.35,1.16,1.29837620562547e-08,1.65895684058172,1.30640895379844
3890454,"bundesliga196",2.59,0.13,1.11,4.11226764011631e-09,1.35563157095757,1.2294459085718
3890456,"bundesliga197",2.8,-0.03,1.12,1.80479769754665e-09,1.38652945328129,1.41661656782097
