"match_id","id","PSCH_prob","PSCD_prob","PSCA_prob","BbAvH_prob","BbAvD_prob","BbAvA_prob","BbAv>2.5_prob","BbAv<2.5_prob"
3878553,"seriea15",0.240684686294249,0.295056226872769,0.464259086832982,0.27295382225254,0.294345187632833,0.432700990114626,0.420779220779221,0.579220779220779
3879641,"seriea150",0.306115984221681,0.300481947702263,0.393402068076056,0.329024676850764,0.300822561692127,0.370152761457109,0.432291666666667,0.567708333333333
3879647,"seriea151",0.504481750161419,0.283679592844392,0.211838656994189,0.491790685845378,0.288497271635738,0.219712042518884,0.41388174807198,0.586118251928021
3879649,"seriea152",0.507660862262925,0.272162628935402,0.220176508801673,0.546404705111164,0.261912999144194,0.191682295744642,0.485488126649077,0.514511873350923
3879648,"seriea153",0.246497021007566,0.288546512826504,0.46495646616593,0.237459104802789,0.285236161925272,0.477304733271938,0.432291666666667,0.567708333333333
3879654,"seriea154",0.393402068076056,0.306115984221681,0.300481947702263,0.381925810281179,0.310549511310598,0.307524678408222,0.39493670886076,0.60506329113924
3879650,"seriea155",0.504431205957945,0.292118370017437,0.203450424024618,0.563940724478595,0.263172338090011,0.172886937431394,0.431168831168831,0.568831168831169
3879653,"seriea156",0.548463537685369,0.280499923559089,0.171036538755542,0.578788933822545,0.262213771124026,0.158997295053429,0.454068241469816,0.545931758530184
3879652,"seriea157",0.675260141116457,0.203560749401011,0.121179109482532,0.706782928832035,0.195679571205563,0.0975374999624023,0.530343007915567,0.469656992084433
3879651,"seriea158",0.556967689966885,0.250067126107581,0.192965183925535,0.592840927089383,0.240747584604826,0.166411488305792,0.566233766233766,0.433766233766234
