"match_id","id","total_goals","supremacy","draw_factor","expH","expA"
3890442,"bundesliga183",3.8,2.4,1.04,3.10144191278453,0.696894675715531
3890440,"bundesliga184",2.87,0.86,1.07,1.86615083279209,1.00590246053674
3890441,"bundesliga185",2.86,0.45,1.15,1.65248352029727,1.20274875813681
3890443,"bundesliga186",2.99,0.51,1.13,1.75008417625646,1.24141042615372
3890445,"bundesliga187",2.55,0.8,1.11,1.67413290155188,0.875767777480508
3890446,"bundesliga188",3.11,-1.87,1.07,0.619321119201631,2.48727578003881
3890447,"bundesliga189",2.91,-0.43,1.13,1.24061619576438,1.67353546258129
3890277,"bundesliga19",3.1,0.45,1.14,1.77066919371819,1.32487618877575
3890448,"bundesliga190",2.86,0.24,1.11,1.5502469833014,1.31047056015966
3890453,"bundesliga191",3.61,2.72,0.91,3.16360882007109,0.442465105808505
3890451,"bundesliga192",2.45,-0.06,1.05,1.19936059542498,1.25439423346707
3890452,"bundesliga193",2.67,0.09,1.06,1.38013635117892,1.291581300958
3890449,"bundesliga194",2.55,0.37,1.13,1.4624065592355,1.08912523804473
3890450,"bundesliga195",2.97,0.35,1.16,1.65895685663203,1.30640894558358
3890454,"bundesliga196",2.59,0.13,1.11,1.35563157677209,1.22944590443424
3890456,"bundesliga197",2.8,-0.03,1.12,1.38652945438322,1.41661656117404
3890455,"bundesliga198",3.15,0.39,1.05,1.76717603791573,1.37803548394466
3890457,"bundesliga199",2.34,0.36,1.08,1.34922839748828,0.992469701654886
3890265,"bundesliga2",2.39,0.44,1.06,1.41540841488433,0.975283783704593
3890281,"bundesliga20",2.49,0.74,1.08,1.61547631403291,0.878175705042372
3890461,"bundesliga200",2.28,0.27,1.12,1.27359344101729,1.00840137961077
3890460,"bundesliga201",3.08,1.33,1.12,2.20593550904937,0.871806631346929
3890459,"bundesliga202",2.68,0.67,1.12,1.6728753163385,1.0028640070055
3890458,"bundesliga203",3.07,-1.42,1.07,0.822709021001976,2.24710007030016
3890462,"bundesliga204",2.92,-0.15,1.12,1.38191281270865,1.53420744716521
3890464,"bundesliga205",3.77,2.1,1.17,2.93474092188814,0.835262767916119
3890465,"bundesliga206",3.05,-0.01,1.17,1.52018419476158,1.5297573859851
3890463,"bundesliga207",2.67,-0.42,1.09,1.1249080823898,1.54738887706233
3890466,"bundesliga208",2.79,-0.64,1.11,1.07388858067564,1.71468807734814
3890467,"bundesliga209",2.08,0.15,1.06,1.11497954820261,0.967462451175787
3890278,"bundesliga21",3.14,1.55,1.08,2.3464744993286,0.792842191774885
3890474,"bundesliga210",3.63,2.51,1.05,3.07305611140716,0.561157605061022
3890468,"bundesliga211",3.06,-1.22,1.22,0.917685275254263,2.14122054140416
3890470,"bundesliga212",2.6,0.53,1.1,1.56390431722695,1.03185119251994
3890469,"bundesliga213",2.89,0.31,1.1,1.60062374313286,1.28623492528029
3890472,"bundesliga214",3.37,1.17,1.16,2.27105929160953,1.09933520226527
3890471,"bundesliga215",3.49,0.39,1.12,1.93828788740339,1.55317887044343
3890473,"bundesliga216",2.74,0.7,1.14,1.71868852860904,1.02362665288837
3890477,"bundesliga217",2.58,-0.13,1.09,1.22661303610427,1.35672307040703
3890481,"bundesliga218",2.85,-0.27,1.1,1.29201712469101,1.56211338583625
3890479,"bundesliga219",2.35,0.12,1.12,1.235991565082,1.11782909518249
3890283,"bundesliga22",2.75,-0.2,1.12,1.27694327454148,1.47429942885124
3890480,"bundesliga220",2.58,0.08,1.08,1.33081961851553,1.24587901060697
3890476,"bundesliga221",3.39,0.84,1.16,2.11383315389955,1.27817449715249
3890478,"bundesliga222",2.98,1.02,1.1,1.99837427718572,0.982082742264355
3890475,"bundesliga223",3.2,0.66,1.13,1.92773565683774,1.26955105029103
3890483,"bundesliga224",2.32,0.02,1.06,1.17115342052581,1.15031109676522
3890482,"bundesliga225",2.5,0.82,1.08,1.66030521492772,0.837248835005713
3890484,"bundesliga226",2.52,0.11,1.1,1.31390315952178,1.20636938351368
3890489,"bundesliga227",3.73,2.63,0.87,3.17707070350236,0.548404425175824
3890487,"bundesliga228",2.47,0.01,1.11,1.23522219882112,1.22982183558724
3890490,"bundesliga229",2.66,-0.33,1.12,1.16872222837687,1.49433592854337
3890280,"bundesliga23",2.75,0.79,1.1,1.76692829737694,0.978284156672962
3890486,"bundesliga230",3.15,-0.47,1.13,1.34038738977092,1.81360500267391
3890485,"bundesliga231",2.65,-0.18,1.11,1.23755350907182,1.41488665989407
3890488,"bundesliga232",3.39,1.31,1.16,2.35289708325614,1.03911954842496
3890491,"bundesliga233",3.14,1.62,1.13,2.3791220447471,0.763917031684712
3890492,"bundesliga234",2.89,1.07,1.13,1.97918928367868,0.911842964846108
3890493,"bundesliga235",2.87,0.05,1.1,1.45950074054136,1.40694103328211
3890497,"bundesliga236",2.74,0.57,1.14,1.65789258405325,1.08354653740097
3890495,"bundesliga237",3.01,-1.5,1.13,0.756595871520193,2.25430844948638
3890499,"bundesliga238",2.74,0.26,1.13,1.49811510546339,1.24303212429292
3890496,"bundesliga239",2.17,0.52,1.06,1.34792921074324,0.823024851437563
3890282,"bundesliga24",2.71,0.48,1.09,1.59825126773464,1.11576610599824
3890494,"bundesliga240",2.9,0.32,1.1,1.60968708488837,1.28830059624406
3890498,"bundesliga241",2.88,1.18,1.14,2.03136914582614,0.851886398843041
3890501,"bundesliga242",2.99,-1.17,1.15,0.907454481641063,2.08006643647956
3890500,"bundesliga243",3.27,0.42,1.15,1.84241664002512,1.42453808250822
3890502,"bundesliga244",2.83,0.51,1.09,1.66953021985291,1.16006144021066
3890505,"bundesliga245",3.73,2.71,0.93,3.21961899835925,0.508426716075008
3890506,"bundesliga246",2.87,-0.24,1.1,1.31384608431863,1.55866699410742
3890507,"bundesliga247",3.63,2.09,1.09,2.86070231770096,0.767524253155899
3890504,"bundesliga248",2.45,-0.23,1.05,1.11259692727796,1.34072102191334
3890508,"bundesliga249",2.4,-0.06,1.05,1.17178113511164,1.23106558128437
3890279,"bundesliga25",3.2,0.69,1.17,1.94365322806819,1.25772055227671
3890503,"bundesliga250",2.6,0.41,1.09,1.50183319149797,1.09622847023724
3890509,"bundesliga251",2.74,0.01,1.09,1.37829789276063,1.3633304039429
3890510,"bundesliga252",2.68,0.7,1.12,1.68928630853208,0.987246218059014
3890511,"bundesliga253",2.6,1.14,1.02,1.86842699047857,0.732656511457576
3890512,"bundesliga254",2.89,0.18,1.12,1.53619189272435,1.35764582021627
3890515,"bundesliga255",2.4,0.45,1.11,1.42392130615202,0.973133856274463
3890517,"bundesliga256",2.59,-0.35,1.07,1.12362445865517,1.46862493889891
3890516,"bundesliga257",3.34,-1.89,1.03,0.724744513201707,2.61307794033139
3890514,"bundesliga258",2.99,0.66,1.06,1.82389170615802,1.16219784920454
3890513,"bundesliga259",2.85,0.39,1.15,1.62396157158327,1.23073563221422
3890284,"bundesliga26",3.39,2.06,1.04,2.7276135329609,0.66275282695877
3890519,"bundesliga260",2.54,-0.12,1.09,1.20877543604078,1.32831001377747
3890518,"bundesliga261",3.17,-0.43,1.22,1.36963192603691,1.79587771322447
3890520,"bundesliga262",3.07,-0.98,1.07,1.04550868803063,2.02154132775012
3890522,"bundesliga263",3.22,0.22,1.13,1.721109954361,1.49669480688454
3890526,"bundesliga264",3.51,2.11,1.07,2.81029272065799,0.697330159657481
3890525,"bundesliga265",2.37,0.03,1.1,1.19932338407532,1.1705289667077
3890524,"bundesliga266",2.63,0.11,1.1,1.3669567484086,1.2610080392663
3890521,"bundesliga267",3.08,1.26,1.08,2.16749834579788,0.908514975048453
3890523,"bundesliga268",3.09,-0.07,1.11,1.51196778302175,1.58085956963951
3890528,"bundesliga269",3.33,1.47,1.19,2.40187396877542,0.931519412717272
3890285,"bundesliga27",2.94,-0.07,1.12,1.43583601601207,1.50484953503906
3890527,"bundesliga270",2.54,0.43,1.04,1.48458211628909,1.05541091346273
3890529,"bundesliga271",2.93,-0.1,1.13,1.4177294438984,1.51429748580991
3890531,"bundesliga272",2.45,0.63,1.1,1.53899884617768,0.911413314834683
3890533,"bundesliga273",2.93,-1.59,1.14,0.66763589733058,2.26076348073248
3890532,"bundesliga274",2.63,0.42,1.1,1.52440671973234,1.10372954371472
3890534,"bundesliga275",2.82,-0.24,1.08,1.28824259412904,1.53105696872031
3890530,"bundesliga276",3.27,-1.02,1.09,1.12179792406193,2.1448333106731
3890535,"bundesliga277",3.05,0.75,1.17,1.89990547820603,1.1546458362699
3890537,"bundesliga278",2.69,-0.18,1.04,1.25398763566099,1.43835119791284
3890536,"bundesliga279",3.35,1.22,1.12,2.28544451591539,1.06794401103735
3890286,"bundesliga28",2.86,0.86,1.09,1.86060412103014,1.000699187859
3890538,"bundesliga280",2.74,0.06,1.12,1.39926452870486,1.33736581959776
3890541,"bundesliga281",3.43,1.42,1.19,2.42322269369696,1.00783481612288
3890539,"bundesliga282",2.56,0.12,1.1,1.34036164125108,1.22011328527578
3890542,"bundesliga283",3.31,1.56,1.01,2.43525287787388,0.87477841075211
3890543,"bundesliga284",3.16,-0.76,1.07,1.20167362244722,1.96019390094844
3890544,"bundesliga285",2.66,0.55,1.05,1.60220965930904,1.0561529430108
3890540,"bundesliga286",2.79,1.05,1.09,1.92002054227698,0.869406559567824
3890545,"bundesliga287",2.84,0.87,1.05,1.85913355565425,0.98474298257907
3890546,"bundesliga288",3.4,0.66,1.13,2.02875603968427,1.37370857300198
3890553,"bundesliga289",3.32,-1.36,1.07,0.977136878643152,2.33825984755209
3890287,"bundesliga29",3.36,2.4,0.99,2.8775235747462,0.478233246131329
3890554,"bundesliga290",3.26,-0.23,1.08,1.51272453666208,1.74626046817652
3890551,"bundesliga291",2.87,0.06,1.11,1.46429232867065,1.40571587695929
3890547,"bundesliga292",3.27,-0.12,1.12,1.57693327278429,1.69688609977771
3890555,"bundesliga293",2.78,0.71,1.14,1.74500749202083,1.03609869558966
